s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"Alfred buys an old scooter for Rs. 4700 and spends Rs. 800 on its repairs. If he sells the scooter for Rs. 5800, his gain percent is:",Profit And Loss,"4.5%","5.45%","6%","5%","5.45%","Cost Price = 4700 + 800 = 5500. Selling Price = 5800. Gain = 300. Gain % = (300/5500)*100 ≈ 5.45%."
2,Aptitude,Q2,"The cost price of 20 articles is the same as the selling price of x articles. If the profit is 25%, then the value of x is:",Profit And Loss,"15","16","18","20","16","C.P. of each article = 1. Profit = 25%. S.P. of x articles = 1.25*x = 20. Solving gives x = 16."
3,Aptitude,Q3,"If selling price is doubled, the profit triples. Find the profit percent.",Profit And Loss,"50%","75%","100%","150%","100%","Let C.P. = x, S.P. = y. Tripled profit: 3(y-x) = 2y-x → y=2x. Profit % = ((y-x)/x)*100 = 100%."
4,Aptitude,Q4,"In a certain store, the profit is 320% of the cost. If the cost increases by 25% but the selling price remains constant, approximately what percentage of the selling price is the profit?",Profit And Loss,"65%","68%","70%","72%","70%","Original C.P.=100, Profit=320, S.P.=420. New C.P.=125, New Profit=420-125=295. Profit % of S.P.=295/420*100≈70%."
5,Aptitude,Q5,"A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%?",Profit And Loss,"5","5.5","6","4.5","5","C.P. of 6 toffees = 1 Rs. S.P. for 20% gain = 1.2 Rs for 6 toffees → for 1 Rs: 6 / 1.2 = 5 toffees."
6,Aptitude,Q1,"The percentage profit earned by selling an article for Rs. 1920 is equal to the percentage loss incurred by selling the same article for Rs. 1280. At what price should the article be sold to make 25% profit?",Profit And Loss,"1900","2000","2100","2200","2000","Let C.P. = x. 1920 - x / x = x - 1280 / x → x = 1600. Required S.P. = 125% of 1600 = 2000."
7,Aptitude,Q2,"A shopkeeper expects a gain of 22.5% on his cost price. If in a week, his sale was of Rs. 392, what was his profit?",Profit And Loss,"Rs. 70","Rs. 72","Rs. 75","Rs. 78","Rs. 72","C.P. = 392/1.225 ≈ 320. Profit = 392 - 320 = 72."
8,Aptitude,Q3,"A man buys a cycle for Rs. 1400 and sells it at a loss of 15%. What is the selling price of the cycle?",Profit And Loss,"Rs. 1180","Rs. 1190","Rs. 1200","Rs. 1210","Rs. 1190","S.P. = 85% of 1400 = 1190."
9,Aptitude,Q4,"Sam purchased 20 dozens of toys at the rate of Rs. 375 per dozen. He sold each one of them at the rate of Rs. 33. What was his percentage profit?",Profit And Loss,"5%","5.6%","6%","6.2%","5.6%","C.P. per toy = 375/12 = 31.25. S.P. = 33. Gain = 1.75. Profit % = 1.75/31.25*100 ≈ 5.6%."
10,Aptitude,Q5,"Some articles were bought at 6 articles for Rs. 5 and sold at 5 articles for Rs. 6. Gain percent is:",Profit And Loss,"40%","42%","44%","45%","44%","L.C.M. = 30 articles. C.P. = 25 Rs, S.P. = 36 Rs. Gain % = (36-25)/25*100 = 44%."
11,Aptitude,Q1,"On selling 17 balls at Rs. 720, there is a loss equal to the cost price of 5 balls. The cost price of a ball is:",Profit And Loss,"Rs. 50","Rs. 55","Rs. 60","Rs. 65","Rs. 60","Loss = 5 balls’ C.P. So, 17-5=12 balls → 12 balls C.P. = 720 → 1 ball C.P. = 720/12 = 60."
12,Aptitude,Q2,"When a plot is sold for Rs. 18,700, the owner loses 15%. At what price must that plot be sold in order to gain 15%?",Profit And Loss,"Rs. 25,000","Rs. 25,300","Rs. 25,500","Rs. 25,800","Rs. 25,300","C.P. = 18700/0.85 = 22000. For 15% gain, S.P. = 1.15*22000 = 25,300."
13,Aptitude,Q3,"100 oranges are bought at the rate of Rs. 350 and sold at the rate of Rs. 48 per dozen. The percentage of profit or loss is:",Profit And Loss,"12%","13%","14.29%","15%","14.29%","C.P. per orange = 350/100 = 3.5. S.P. per orange = 48/12 = 4. Gain % = (4-3.5)/3.5*100 ≈ 14.29%."
14,Aptitude,Q4,"A shopkeeper sells one transistor for Rs. 840 at a gain of 20% and another for Rs. 960 at a loss of 4%. His total gain or loss percent is:",Profit And Loss,"5.5%","5.88%","6%","6.2%","5.88%","C.P. of 1st = 840/1.2=700, 2nd=960/0.96=1000. Total C.P.=1700, Total S.P.=1800. Gain % = 100/1700*100 ≈ 5.88%."
15,Aptitude,Q5,"A trader mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of other variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is:",Profit And Loss,"4%","5%","6%","5.5%","5%","C.P. = 26*20 + 30*36 = 1600. S.P. = 56*30 = 1680. Profit % = 80/1600*100 = 5%."
