s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"Father is aged three times more than his son Ronit. After 8 years, he would be two and a half times of Ronit's age. After further 8 years, how many times would he be of Ronit's age?","Problems On Ages","2","2.5","3","3.5","3","Let Ronit's present age be x=8. Father's age = 4x=32. After 8 years: 40 & Ronit 16, ratio 40:16=2.5. After 8 more years, ratio=48:24=2."
2,Aptitude,Q2,"The sum of ages of 5 children born at the intervals of 3 years each is 50 years. What is the age of the youngest child?","Problems On Ages","2","3","4","5","4","Let youngest=x, next 3,6,9,12. Sum=x+(x+3)+...+(x+12)=5x+30=50 → x=4."
3,Aptitude,Q3,"A father said to his son, 'I was as old as you are at the present at the time of your birth'. If the father's age is 38 years now, the son's age five years back was:","Problems On Ages","12","13","14","15","14","Let son's age=x. Then 38-x=x → 2x=38 → x=19. Five years back=14."
4,Aptitude,Q4,"A is two years older than B who is twice as old as C. If the total of the ages of A, B and C be 27, then how old is B?","Problems On Ages","8","9","10","11","10","C=x, B=2x, A=2x+2 → sum=5x+2=27 → x=5 → B=2x=10."
5,Aptitude,Q5,"Present ages of Sameer and Anand are in the ratio of 5:4. Three years hence, the ratio of their ages will become 11:9. What is Anand's present age in years?","Problems On Ages","20","22","24","26","24","Let ages=5x,4x → (5x+3)/(4x+3)=11/9 → solve → x=6 → Anand=4x=24."
6,Aptitude,Q1,"A man is 24 years older than his son. In two years, his age will be twice the age of his son. The present age of his son is:","Problems On Ages","20","21","22","23","22","x + 24 + 2 = 2(x + 2) → x + 26 = 2x + 4 → x=22."
7,Aptitude,Q2,"Six years ago, the ratio of the ages of Kunal and Sagar was 6:5. Four years hence, the ratio of their ages will be 11:10. What is Sagar's age at present?","Problems On Ages","14","15","16","17","16","Let ages 6 years ago=6x,5x → (6x+10)/(5x+10)=11/10 → x=2 → Sagar=5x+6=16."
8,Aptitude,Q3,"The sum of the present ages of a father and his son is 60 years. Six years ago, father's age was five times the age of the son. After 6 years, son's age will be:","Problems On Ages","18","19","20","21","20","Let son=x, father=60-x → 60-x-6=5(x-6) → x=14 → son's age after 6=20."
9,Aptitude,Q4,"At present, the ratio between the ages of Arun and Deepak is 4:3. After 6 years, Arun's age will be 26 years. What is the age of Deepak at present?","Problems On Ages","14","15","16","17","15","4x+6=26 → x=5 → Deepak=3x=15."
10,Aptitude,Q5,"Sachin is younger than Rahul by 7 years. If their ages are in the ratio 7:9, how old is Sachin?","Problems On Ages","23","24","25","26","24","Rahul=x → Sachin=x-7 → (x-7)/x=7/9 → x=31.5 → Sachin=24.5."
11,Aptitude,Q1,"The present ages of three persons in proportion 4:7:9. Eight years ago, the sum of their ages was 56. Find their present ages (in years).","Problems On Ages","16,28,36","18,31,40","20,35,45","22,38,46","16,28,36","Let ages=4x,7x,9x → sum 8 years ago=4x-8+7x-8+9x-8=56 → x=4 → ages=16,28,36."
12,Aptitude,Q2,"Ayesha's father was 38 when she was born while her mother was 36 when her brother (4 years younger) was born. What is the difference between the ages of her parents?","Problems On Ages","5","6","7","8","6","Mother's age at brother's birth=36, Father's=38+4=42 → difference=6."
13,Aptitude,Q3,"A person's present age is two-fifth of the age of his mother. After 8 years, he will be one-half of the age of his mother. How old is the mother at present?","Problems On Ages","35","36","40","42","40","Let mother's age=x → son's=2x/5 → 2x/5+8=1/2(x+8) → x=40."
14,Aptitude,Q4,"Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years, what is definitely the difference between R and Q's age?","Problems On Ages","?","?","?","?","?","Given: R-Q = Q-T, R+T=50 → difference R-Q=?"
15,Aptitude,Q5,"The age of father 10 years ago was thrice the age of his son. Ten years hence, father's age will be twice that of his son. The ratio of their present ages is:","Problems On Ages","5:2","7:3","3:1","4:1","7:3","Father=3x, son=x → (3x+20)/(x+20)=2 → solve → x=20 → ratio=70:30=7:3."
