s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"It was Sunday on Jan 1, 2006. What was the day of the week Jan 1, 2010?",Calendar,"Monday","Tuesday","Friday","Saturday","Friday","Number of odd days from 2006 to 2009 = 1+1+2+1 = 5 → Sunday + 5 days = Friday."
2,Aptitude,Q2,"What was the day of the week on 28th May, 2006?",Calendar,"Sunday","Monday","Tuesday","Wednesday","Sunday","Calculate odd days from 1.1.2006 to 28.5.2006 = 6+1 = 7 = 0 odd day → 28th May is Sunday."
3,Aptitude,Q3,"What was the day of the week on 17th June, 1998?",Calendar,"Monday","Tuesday","Wednesday","Thursday","Wednesday","Odd days from 1.1.1998 to 17.6.1998 = 3 → Wednesday."
4,Aptitude,Q4,"What will be the day of the week 15th August, 2010?",Calendar,"Sunday","Monday","Tuesday","Wednesday","Sunday","Odd days from 2009 + days in 2010 till 15th Aug = 0 → Day is Sunday."
5,Aptitude,Q5,"Today is Monday. After 61 days, it will be:",Calendar,"Friday","Saturday","Sunday","Monday","Saturday","61 mod 7 = 5 → Monday + 5 days = Saturday."
6,Aptitude,Q1,"If 6th March, 2005 is Monday, what was the day of the week on 6th March, 2004?",Calendar,"Sunday","Monday","Tuesday","Wednesday","Sunday","2004 is leap year → 1 odd day from 6 Mar 2004 to 6 Mar 2005 → Day before Monday = Sunday."
7,Aptitude,Q2,"On what dates of April, 2001 did Wednesday fall?",Calendar,"1,8,15,22","2,9,16,23","3,10,17,24","4,11,18,25","4,11,18,25","1st April 2001 is Sunday → Wednesdays = 4,11,18,25."
8,Aptitude,Q3,"How many days are there in x weeks x days?",Calendar,"7x days","8x days","x days","x+7 days","8x days","x weeks x days = 7x + x = 8x days."
9,Aptitude,Q4,"The last day of a century cannot be",Calendar,"Monday","Tuesday","Sunday","Friday","Tuesday, Thursday, or Saturday","By calculating odd days, the last day cannot be Tue/Thu/Sat."
10,Aptitude,Q5,"On 8th Feb, 2005 it was Tuesday. What was the day of the week on 8th Feb, 2004?",Calendar,"Sunday","Monday","Tuesday","Wednesday","Sunday","2004 is leap year → 2 odd days → 8th Feb 2004 = Sunday."
11,Aptitude,Q1,"The calendar for the year 2007 will be the same for the year:",Calendar,"2017","2018","2016","2019","2018","Count odd days from 2007 to 2018 → Sum = 14 = 0 odd day → Calendar same in 2018."
12,Aptitude,Q2,"Which of the following is not a leap year?",Calendar,"2000","2004","2008","700","700","Century not divisible by 400 is not leap year."
13,Aptitude,Q3,"On 8th Dec, 2007 Saturday falls. What day of the week was it on 8th Dec, 2006?",Calendar,"Thursday","Friday","Saturday","Sunday","Friday","2006 ordinary year → 1 odd day → 8 Dec 2006 = Friday."
14,Aptitude,Q4,"January 1, 2008 is Tuesday. What day of the week lies on Jan 1, 2009?",Calendar,"Tuesday","Wednesday","Thursday","Friday","Thursday","2008 leap year → 2 odd days → Jan 1, 2009 = Thursday."
15,Aptitude,Q5,"January 1, 2007 was Monday. What day of the week lies on Jan 1, 2008?",Calendar,"Monday","Tuesday","Wednesday","Thursday","Tuesday","2007 ordinary year → 1 odd day → Jan 1, 2008 = Tuesday."
