s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"The captain of a cricket team of 11 members is 26 years old and the wicket keeper is 3 years older. If the ages of these two are excluded, the average age of the remaining players is one year less than the average age of the whole team. What is the average age of the team?",Average,"21 years","22 years","23 years","24 years","23 years","Let the average age of the whole team be x years. 11x - (26+29) = 9(x-1) → 11x-9x=46 → 2x=46 → x=23."
2,Aptitude,Q2,"The average monthly income of P and Q is Rs. 5050. The average monthly income of Q and R is Rs. 6250 and the average monthly income of P and R is Rs. 5200. The monthly income of P is:",Average,"Rs. 3500","Rs. 4000","Rs. 4500","Rs. 5000","Rs. 4000","P+Q=10100, Q+R=12500, P+R=10400 → Adding: 2(P+Q+R)=33000 → P+Q+R=16500 → Subtract Q+R → P=4000."
3,Aptitude,Q3,"The average age of husband, wife and their child 3 years ago was 27 years and that of wife and the child 5 years ago was 20 years. The present age of the husband is:",Average,"35 years","38 years","40 years","42 years","40 years","Sum of present ages: husband+wife+child=27*3+3*3=90, wife+child=20*2+5*2=50 → husband's age=90-50=40 years."
4,Aptitude,Q4,"A car owner buys petrol at Rs.7.50, Rs. 8 and Rs. 8.50 per litre for three successive years. What approximately is the average cost per litre of petrol if he spends Rs. 4000 each year?",Average,"Rs. 7.80","Rs. 7.85","Rs. 7.98","Rs. 8.00","Rs. 7.98","Total petrol quantity=4000/7.5 + 4000/8 + 4000/8.5 ≈ 767. Total spent=12000 → average cost ≈ 12000/767 ≈ Rs.7.98."
5,Aptitude,Q5,"In Arun's opinion, his weight is greater than 65 kg but less than 72 kg. His brother does not agree with Arun and he thinks that Arun's weight is greater than 60 kg but less than 70 kg. His mother's view is that his weight cannot be greater than 68 kg. If all are them are correct in their estimation, what is the average of different probable weights of Arun?",Average,"65 kg","66 kg","67 kg","68 kg","67 kg","Possible weights satisfying all conditions: 66, 67, 68 → Average = (66+67+68)/3=67."
6,Aptitude,Q1,"The average weight of A, B and C is 45 kg. If the average weight of A and B be 40 kg and that of B and C be 43 kg, then the weight of B is:",Average,"29 kg","30 kg","31 kg","32 kg","31 kg","A+B+C=135, A+B=80, B+C=86 → Adding A+2B+C=166 → Subtract A+B+C=135 → B=31 kg."
7,Aptitude,Q2,"The average weight of 16 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg. Find the average weights of all the boys in the class.",Average,"48.5 kg","48.55 kg","49 kg","49.05 kg","48.55 kg","Total weight=16*50.25+8*45.15=1165.2 → Average=1165.2/24 ≈48.55 kg."
8,Aptitude,Q3,"A library has an average of 510 visitors on Sundays and 240 on other days. The average number of visitors per day in a month of 30 days beginning with a Sunday is:",Average,"280","285","290","295","285","Month begins with Sunday → 5 Sundays, 25 other days → Total visitors=5*510+25*240=8550 → Average=8550/30=285."
9,Aptitude,Q4,"If the average marks of three batches of 55, 60 and 45 students respectively is 50, 55, 60, then the average marks of all the students is:",Average,"54.5","54.68","55","55.25","54.68","Weighted average=(55*50+60*55+45*60)/(55+60+45)=8750/160 ≈54.68."
10,Aptitude,Q5,"A pupil's marks were wrongly entered as 83 instead of 63. Due to that the average marks for the class got increased by half (1/2). The number of pupils in the class is:",Average,"20","30","40","50","40","Let x=pupils. Increase in total marks= x*(1/2)=0.5x=83-63=20 → 0.5x=20 → x=40."
