s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?",Alligation Or Mixture,"1 litre","1.25 litre","1.5 litre","2 litre","1.5 litre","Let the vessel contain 8 litres. Replace x litres with water: Water = 3 - 3x/8 + x, Syrup = 5 - 5x/8. Solve 3 - 3x/8 + x = 5 - 5x/8 → x = 1.5 litres."
2,Aptitude,Q2,"Tea worth Rs. 126 per kg and Rs. 135 per kg are mixed with a third variety in the ratio 1 : 1 : 2. If the mixture is worth Rs. 153 per kg, the price of the third variety per kg will be:",Alligation Or Mixture,"Rs. 150","Rs. 155","Rs. 175.50","Rs. 160","Rs. 175.50","Average of first two = 130.5. Let x be price of third variety: (130.5 + x)/2 = 153 → x = 175.5."
3,Aptitude,Q3,"A can contains a mixture of two liquids A and B is the ratio 7 : 5. When 9 litres of mixture are drawn off and the can is filled with B, the ratio of A and B becomes 7 : 9. How many litres of liquid A was contained by the can initially?",Alligation Or Mixture,"14 litres","18 litres","21 litres","24 litres","21 litres","Let can contain 7x A and 5x B. Remove 9 litres, replace with B, new ratio 7:9. Solve for x → A = 21 litres."
4,Aptitude,Q4,"A milk vendor has 2 cans of milk. The first contains 25% water and the rest milk. The second contains 50% water. How much milk should he mix from each of the containers so as to get 12 litres of milk such that the ratio of water to milk is 3 : 5?",Alligation Or Mixture,"4 litres from each","5 litres from each","6 litres from each","8 litres from first, 4 from second","6 litres from each","Water ratio 3:5 → Milk fraction 5/8. Use alligation: ratio = 1:1. Total milk 12 → 6 litres from each can."
5,Aptitude,Q5,"In what ratio must a grocer mix two varieties of pulses costing Rs. 15 and Rs. 20 per kg respectively so as to get a mixture worth Rs. 16.50 kg?",Alligation Or Mixture,"3:2","2:3","7:3","5:2","7:3","By alligation: Difference 16.5-15=1.5, 20-16.5=3 → Ratio = 3:1.5 = 7:3."
6,Aptitude,Q1,"A dishonest milkman professes to sell his milk at cost price but he mixes it with water and thereby gains 25%. The percentage of water in the mixture is:",Alligation Or Mixture,"20%","25%","30%","15%","20%","Let CP milk = 1, SP = 1, gain 25% → ratio milk:water = 4:1 → water % = 20%."
7,Aptitude,Q2,"How many kilogram of sugar costing Rs. 9 per kg must be mixed with 27 kg of sugar costing Rs. 7 per kg so that there may be a gain of 10% by selling the mixture at Rs. 9.24 per kg?",Alligation Or Mixture,"60 kg","63 kg","65 kg","70 kg","63 kg","SP = 9.24, Gain 10% → CP mixture = 8.4. Apply alligation with 9 and 7 → ratio 7:3. Let x:27 = 7:3 → x = 63 kg."
8,Aptitude,Q3,"A container contains 40 litres of milk. From this container 4 litres of milk was taken out and replaced by water. This process was repeated further two times. How much milk is now contained by the container?",Alligation Or Mixture,"28.16 litres","29.16 litres","30 litres","32 litres","29.16 litres","Amount left = 40*(1-4/40)^3 = 40*(36/40)^3 = 29.16 litres."
9,Aptitude,Q4,"A jar full of whisky contains 40% alcohol. A part of this whisky is replaced by another containing 19% alcohol and now the percentage of alcohol was found to be 26%. The quantity of whisky replaced is:",Alligation Or Mixture,"1/3","2/3","1/2","3/4","2/3","By alligation: 40-26:26-19 = 14:7 → ratio = 2:1 → replaced fraction = 2/3."
10,Aptitude,Q5,"In what ratio must water be mixed with milk to gain 16 % on selling the mixture at cost price?",Alligation Or Mixture,"1:4","1:5","1:6","1:7","1:6","CP milk =1, SP=1, gain 16% → water:milk ratio =1:6."
11,Aptitude,Q1,"Find the ratio in which rice at Rs. 7.20 a kg be mixed with rice at Rs. 5.70 a kg to produce a mixture worth Rs. 6.30 a kg.",Alligation Or Mixture,"2:3","3:2","1:2","3:1","2:3","By alligation: 6.30-5.70=0.6, 7.20-6.30=0.9 → ratio = 0.9:0.6 = 3:2. Correction → 2:3."
12,Aptitude,Q2,"In what ratio must a grocer mix two varieties of tea worth Rs. 60 a kg and Rs. 65 a kg so that by selling the mixture at Rs. 68.20 a kg he may gain 10%?",Alligation Or Mixture,"3:2","2:3","1:1","4:3","3:2","SP =68.2, Gain 10% → CP mixture=62 → Alligation with 60 and 65 → ratio 3:2."
13,Aptitude,Q3,"The cost of Type 1 rice is Rs. 15 per kg and Type 2 rice is Rs. 20 per kg. If both Type 1 and Type 2 are mixed in the ratio of 2 : 3, then the price per kg of the mixed variety of rice is:",Alligation Or Mixture,"Rs.16","Rs.17","Rs.18","Rs.19","Rs.18","Weighted average: (2*15 +3*20)/(2+3)=90/5=18."
14,Aptitude,Q4,"8 litres are drawn from a cask full of wine and is then filled with water. This operation is performed three more times. The ratio of the quantity of wine now left in cask to that of water is 16 : 65. How much wine did the cask hold originally?",Alligation Or Mixture,"20 litres","24 litres","28 litres","32 litres","24 litres","Let cask contain x litres. After 4 operations: x*(1-8/x)^4 = 16/(16+65)*x → x=24 litres."
15,Aptitude,Q5,"A merchant has 1000 kg of sugar, part of which he sells at 8% profit and the rest at 18% profit. He gains 14% on the whole. The quantity sold at 18% profit is:",Alligation Or Mixture,"500 kg","600 kg","400 kg","700 kg","600 kg","By alligation: Differences 18-14=4, 14-8=6 → ratio=6:4=3:2 → quantity at 18% profit = 3/5*1000=600 kg."
