s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"The cube root of 0.000216 is:","Square Root And Cube Root","0.06","0.6","0.006","0.36","0.06","(.000216)^(1/3) = 0.06"
2,Aptitude,Q2,"What should come in place of x in the equation x = √(162 × 128)?","Square Root And Cube Root","12","14","16","18","12","x^2 = 162 × 128 → factorization → x = 12"
3,Aptitude,Q3,"The least perfect square divisible by 21, 36, 66 is:","Square Root And Cube Root","213444","2772","44100","5544","213444","LCM of 21,36,66=2772. Multiply factors to make perfect square → 213444"
4,Aptitude,Q4,"1.5625 = ?","Square Root And Cube Root","1.25","1.2","1.3","1.35","1.25","Square root of 1.5625 = 1.25"
5,Aptitude,Q5,"If 3√5 + 125 = 17.88, then 8√5 + 6√5 = ?","Square Root And Cube Root","22.35","21.88","23.00","20.35","22.35","From given, √5=2.235 → 14√5=14*2.235=22.35"
6,Aptitude,Q6,"If a = 0.1039, then value of 4a² - 4a + 1 + 3a is:","Square Root And Cube Root","1.1039","1.204","1.303","1.050","1.1039","4a² - 4a +1 +3a = (1-2a)² + 3a = 1+a =1.1039"
7,Aptitude,Q7,"If x = 3 + √1 and y = 3 - √1, then value of (x² + y²) is:","Square Root And Cube Root","14","12","16","10","14","x²+y²=(2+√3)²+(2-√3)²=14"
8,Aptitude,Q8,"A group collects as many paise as members. Total Rs.59.29. Number of members?","Square Root And Cube Root","77","75","80","72","77","Total 5929 paise → members = √5929=77"
9,Aptitude,Q9,"Square root of (7 + 3√5)(7 - 3√5) is:","Square Root And Cube Root","2","3","4","5","2","(7+3√5)(7-3√5)=49-45=4 → √4=2"
10,Aptitude,Q10,"If √5=2.236, value of √5 - 10 + 125 is:","Square Root And Cube Root","7.826","8.000","7.500","8.236","7.826","Compute expression using √5≈2.236 → value≈7.826"
11,Aptitude,Q11,"625 × 14 × 11 is equal to:","Square Root And Cube Root","96250","9625","9525","9610","96250","Simplify: 625*14*11=96250"
12,Aptitude,Q12,"0.0169 × ? = 1.3, find ?","Square Root And Cube Root","76.923","77","75","78","76.923","? = 1.3 /0.0169 ≈ 76.923"
13,Aptitude,Q13,"3√-1² simplifies to:","Square Root And Cube Root","√3","3","√-1","2","√3","Compute (3√-1)² → simplified value √3"
14,Aptitude,Q14,"Two-digit numbers whose square ends with 8?","Square Root And Cube Root","None","2","4","8","None","No two-digit number has a square ending in 8"
15,Aptitude,Q15,"Square root of 64009 is:","Square Root And Cube Root","253","252","254","250","253","√64009=253"
