s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"3, 5, 11, 14, 17, 21","Odd Man Out And Series","3","5","14","21","14","All numbers except 14 are odd; 14 is the only even number."
2,Aptitude,Q2,"8, 27, 64, 100, 125, 216, 343","Odd Man Out And Series","64","100","125","216","100","Sequence are perfect cubes (2³,3³,4³,5³,6³,7³). 100 is not a perfect cube."
3,Aptitude,Q3,"10, 25, 45, 54, 60, 75, 80","Odd Man Out And Series","45","54","60","75","54","All numbers except 54 are multiples of 5; 54 is not divisible by 5."
4,Aptitude,Q4,"396, 462, 572, 427, 671, 264","Odd Man Out And Series","396","572","427","264","427","In every number except 427 the middle digit equals the sum of the first and third digits. 427 does not satisfy this."
5,Aptitude,Q5,"6, 9, 15, 21, 24, 28, 30","Odd Man Out And Series","28","24","30","15","28","All numbers except 28 are multiples of 3; 28 is not divisible by 3."
6,Aptitude,Q6,"1, 4, 9, 16, 23, 25, 36","Odd Man Out And Series","9","16","23","25","23","All terms except 23 are perfect squares (1,4,9,16,25,36). 23 is not a square."
7,Aptitude,Q7,"1, 4, 9, 16, 20, 36, 49","Odd Man Out And Series","20","36","49","16","20","The pattern is perfect squares (1²,2²,3²,4²,5²,6²,7²). 20 is not 5²."
8,Aptitude,Q8,"2, 5, 10, 17, 26, 37, 50, 64","Odd Man Out And Series","50","37","64","26","64","Pattern is n²+1 for n=1..8 → last term should be 65. 64 is out of pattern."
9,Aptitude,Q9,"10, 14, 16, 18, 21, 24, 26","Odd Man Out And Series","14","18","21","24","21","All numbers except 21 are even; 21 is the only odd number."
10,Aptitude,Q10,"16, 25, 36, 72, 144, 196, 225","Odd Man Out And Series","72","144","196","225","72","Except 72, all numbers are perfect squares (16,25,36,144,196,225). 72 is not a square."
11,Aptitude,Q11,"331, 482, 551, 263, 383, 362, 284","Odd Man Out And Series","331","482","383","362","383","For every number except 383, middle digit = product of first and third digits. 383 does not satisfy this."
12,Aptitude,Q12,"835, 734, 642, 751, 853, 981, 532","Odd Man Out And Series","734","751","981","642","751","In all numbers except 751, |third digit − first digit| = middle digit. 751 does not satisfy this."
13,Aptitude,Q13,"41, 43, 47, 53, 61, 71, 73, 81","Odd Man Out And Series","61","71","73","81","81","All numbers except 81 are prime numbers; 81 = 9×9 is composite."
14,Aptitude,Q14,"3, 5, 7, 12, 17, 19","Odd Man Out And Series","5","7","12","19","12","All numbers except 12 are prime; 12 is the only composite number."
