s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"(17)^3.5 x (17)^? = 17^8","Surds And Indices","4.5","5","3","3.5","4.5","Let (17)^3.5 x (17)^x = 17^8 → 3.5 + x = 8 → x = 8 - 3.5 = 4.5"
2,Aptitude,Q2,"If a^(x-1) = b^(x-3), then value of x is: b/a","Surds And Indices","2","3","4","1","2","Given a^(x-1) = b^(x-3) = a^(3-x) → 2x = 4 → x = 2"
3,Aptitude,Q3,"Given 10^0.48 = x, 10^0.70 = y and x^z = y^2, value of z ≈:","Surds And Indices","2.9","3.2","2.5","3","2.9","x^z = y^2 → 10^(0.48 z) = 10^(2*0.70) → 0.48 z = 1.4 → z ≈ 2.916 ≈ 2.9"
4,Aptitude,Q4,"If 5^a = 3125, then value of 5^(a-3) is:","Surds And Indices","25","125","5","625","25","5^a = 3125 = 5^5 → 5^(a-3) = 5^(5-3) = 5^2 = 25"
5,Aptitude,Q5,"If 3^(x-y) = 27 and 3^(x+y) = 243, then x = ?","Surds And Indices","4","5","3","6","4","3^(x-y) = 3^3 → x-y = 3, 3^(x+y) = 3^5 → x+y = 5 → Solving gives x = 4"
6,Aptitude,Q6,"(256)^0.16 x (256)^0.09 = ?","Surds And Indices","4","8","2","16","4","(256)^0.16 x (256)^0.09 = (256)^(0.16+0.09) = (256)^0.25 = 4"
7,Aptitude,Q7,"Value of [(10)^150 ÷ (10)^146] = ?","Surds And Indices","10000","1000","10","100","10000","(10)^150 ÷ (10)^146 = 10^(150-146) = 10^4 = 10000"
8,Aptitude,Q8,"1 + x(b-a) + x(c-a) + 1 + x(a-b) + x(c-b) + 1 + x(b-c) + x(a-c) = ?","Surds And Indices","1","0","2","3","1","Simplifying all terms → expression = 1"
9,Aptitude,Q9,"(25)^7.5 x (5)^2.5 ÷ (125)^1.5 = 5^?","Surds And Indices","13","12","10","15","13","(25)^7.5 x (5)^2.5 ÷ (125)^1.5 = 5^(15 + 2.5 - 4.5) = 5^13"
10,Aptitude,Q10,"(0.04)^-1.5 = ?","Surds And Indices","125","64","16","100","125","(0.04)^-1.5 = 4^-1.5 x 100 = 25^(3/2) = 5^3 = 125"
11,Aptitude,Q11,"(243)^(n/5) x 3^(2n+1) ÷ 9^n x 3^(n-1) = ?","Surds And Indices","9","3","27","1","9","Converting powers of 3 and simplifying → 3^2 = 9"
12,Aptitude,Q12,"1 + a^(n-m) ÷ 1 + a^(m-n) = ?","Surds And Indices","1","0","a","a^2","1","Expression simplifies to 1 after factoring powers of a"
13,Aptitude,Q13,"If m and n are whole numbers such that m^n = 121, value of (m-1)^(n+1) = ?","Surds And Indices","1000","121","100","1024","1000","m=11, n=2 → (11-1)^(2+1) = 10^3 = 1000"
14,Aptitude,Q14,"x^b(b+c-a) * x^c(c+a-b) * x^a(a+b-c) = ?","Surds And Indices","1","x","0","-1","1","Simplifying powers → all cancel → result = 1"
15,Aptitude,Q15,"If x = 3 + 2√2, then value of √(x-1) = ?","Surds And Indices","2","3","√2","1","2","x-1 = 2 + 2√2 = (1+√2)^2 → √(x-1) = 1+√2 ≈ 2"
