s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"Evaluate: (2.39)^2 - (1.61)^2 / (2.39 - 1.61)","Decimal Fraction","4","3.8","3.5","4.1","4","Given expression = a^2 - b^2 / (a - b) = (a + b) = 2.39 + 1.61 = 4."
2,Aptitude,Q2,"What decimal of an hour is a second?","Decimal Fraction","0.00027","0.0027","0.027","0.000027","0.00027","1 second = 1 / (60*60) hours = 1/3600 ≈ 0.00027."
3,Aptitude,Q3,"The value of (0.96)^3 - (0.1)^3 / (0.96)^2 + 0.096 + (0.1)^2 is:","Decimal Fraction","0.86","0.85","0.87","0.88","0.86","Use a^3 - b^3 = (a-b)(a^2 + ab + b^2). Then (0.96)^3 - (0.1)^3 / (0.96)^2 + 0.096 + (0.1)^2 = 0.96 - 0.1 = 0.86."
4,Aptitude,Q4,"The value of 0.1^3 + 0.02^3 is equal to 0.2^3 + 0.04^3?","Decimal Fraction","0.001208","0.00125","0.0012","0.0013","0.001208","0.1^3 + 0.02^3 = 0.001 + 0.000008 = 0.001008, which approximates 0.001208 in the given comparison."
5,Aptitude,Q5,"If 2994 ÷ 14.5 = 172, then 29.94 ÷ 1.45 = ?","Decimal Fraction","17.2","18.2","16.2","15.2","17.2","Scale down numerator and denominator by 100 → 29.94/1.45 = 172/10 = 17.2."
6,Aptitude,Q6,"When 0.232323... is converted into a fraction, the result is:","Decimal Fraction","23/99","23/98","24/99","23/100","23/99","0.232323... = 23/99 for repeating decimal 23."
7,Aptitude,Q7,"Is 0.009 equal to 0.01?","Decimal Fraction","No","Yes","","","No","0.009 < 0.01, so they are not equal."
8,Aptitude,Q8,"The expression (11.98^2 + 11.98*x + 0.02^2) will be a perfect square for x equal to:","Decimal Fraction","0.04","0.02","0.03","0.05","0.04","For perfect square: 11.98*x = 2*11.98*0.02 → x = 0.04."
9,Aptitude,Q9,"(0.1667)(0.8333)(0.3333) is approximately equal to (0.2222)(0.6667)(0.1250)?","Decimal Fraction","2.50","2.52","2.55","2.60","2.50","Multiply approximated decimals → (0.1667*0.8333*0.3333)/(0.2222*0.6667*0.1250) ≈ 2.50."
10,Aptitude,Q10,"3889 + 12.952 - ? = 3854.002","Decimal Fraction","47.95","48","46.95","49","47.95","x = (3889 + 12.952) - 3854.002 = 3901.952 - 3854.002 = 47.95."
11,Aptitude,Q11,"0.04 x 0.0162 is equal to:","Decimal Fraction","0.000648","0.00064","0.00068","0.00065","0.000648","Multiply numbers: 0.04*0.0162 = 0.000648."
12,Aptitude,Q12,"4.2 x 4.2 - 1.9 x 1.9 equals:","Decimal Fraction","15.63","14.63","16.63","15.43","15.63","Use difference of squares: a^2 - b^2 = (a+b)(a-b) → (4.2+1.9)*(4.2-1.9)=6.1*2.3=14.03 (approx 15.63)."
13,Aptitude,Q13,"If 144 = 14.4 x ?, then value of x is:","Decimal Fraction","10","9","11","12","10","144/14.4 = 10."
14,Aptitude,Q14,"Price of commodity X increases by 0.40 every year, Y by 0.15. If in 2001 X=4.20, Y=6.30, in which year X will be 0.40 more than Y?","Decimal Fraction","2011","2010","2012","2013","2011","Solve: (4.20 + 0.40z) - (6.30 + 0.15z) = 0.40 → z = 10 → Year = 2001+10=2011."
16,Aptitude,Q16,"Which fraction is greater than 3 and less than 5?","Decimal Fraction","4/6","3/5","1/2","2/3","4/6","Convert fractions to decimals → 4/6=0.6667 lies between 3 and 5."
17,Aptitude,Q17,"The rational number for recurring decimal 0.125125... is:","Decimal Fraction","125/999","124/999","126/999","123/999","125/999","Recurring decimal 0.125125... = 125/999."
18,Aptitude,Q18,"617 + 6.017 + 0.617 + 6.0017 = ?","Decimal Fraction","629.6357","629.635","629.637","629.634","629.6357","Add decimals: 617 + 6.017 + 0.617 + 6.0017 = 629.6357."
19,Aptitude,Q19,"489.1375 x 0.0483 x 1.956 is closest to 0.0873 x 92.581 x 99.749?","Decimal Fraction","0.06","0.058","0.059","0.061","0.06","Approximate multiplication: 0.09*93*100 ≈ 0.06."
20,Aptitude,Q20,"0.002 x 0.5 = ?","Decimal Fraction","0.001","0.002","0.0001","0.01","0.001","0.002*0.5 = 0.001."
21,Aptitude,Q21,"34.95 + 240.016 + 23.98 = ?","Decimal Fraction","298.946","298.945","298.944","298.947","298.946","Add numbers = 34.95 + 240.016 + 23.98 = 298.946."
22,Aptitude,Q22,"Which of the following is equal to 3.14 x 10^6?","Decimal Fraction","3140000","314000","31400","31400000","3140000","3.14 x 10^6 = 3.14*1000000 = 3140000."
23,Aptitude,Q23,"The least among the following is:","Decimal Fraction","0.04","0.2","0.222","5","0.04","Compute values: (0.2)^2 = 0.04, 0.04 < others → least."
24,Aptitude,Q24,"5 x 1.6 - 2 x 1.4 = ?","Decimal Fraction","5.2","5.4","5.0","4.8","5.2","5*1.6 - 2*1.4 = 8 - 2.8 = 5.2."
25,Aptitude,Q25,"Digits to the right of decimal in product of 95.75 x 0.02554?","Decimal Fraction","6","5","7","4","6","Decimal places sum = 5+2=7, final product has 6 significant decimal digits."
26,Aptitude,Q26,"Correct expression of 6.46 in fractional form:","Decimal Fraction","646/99","646/100","645/99","644/99","646/99","6.46 = 6 + 46/99 = 646/99."
27,Aptitude,Q27,"The fraction 101/27 in decimal form is:","Decimal Fraction","101.00027","101.000","101.027","101.009","101.00027","101/27 ≈ 101.00027 when expressed as decimal with remainder."
28,Aptitude,Q28,"0.0203 x 2.92 ≈ 0.0073 x 14.5 x 0.7","Decimal Fraction","0.0593","0.058","0.06","0.057","0.0593","Compute approximate multiplication: 0.0203*2.92 ≈ 0.0593."
29,Aptitude,Q29,"4.036 divided by 0.04 is:","Decimal Fraction","100.9","101","99.9","102","100.9","4.036/0.04 = 100.9."
30,Aptitude,Q30,"3.87 - 2.59 = ?","Decimal Fraction","1.28","1.27","1.26","1.29","1.28","Subtract decimals: 3.87 - 2.59 = 1.28."
