s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"3 pumps, working 8 hours a day, can empty a tank in 2 days. How many hours a day must 4 pumps work to empty the tank in 1 day?",Chain Rule,"10 hours","12 hours","8 hours","6 hours","12 hours","4 pumps working more, less hours; fewer days require more hours. x = (3*2*8)/4 = 12 hours."
2,Aptitude,Q2,"If the cost of x metres of wire is d rupees, then what is the cost of y metres of wire at the same rate?",Chain Rule,"(d*y)/x","(x*y)/d","d/(x*y)","(x*d)/y","(d*y)/x","Cost per metre = d/x → Cost for y metres = y*(d/x) = (d*y)/x."
3,Aptitude,Q3,"Running at the same constant rate, 6 identical machines can produce a total of 270 bottles per minute. At this rate, how many bottles could 10 such machines produce in 4 minutes?",Chain Rule,"1200","1800","1500","2000","1800","More machines and more minutes produce more bottles: x = (10*4*270)/6 = 1800 bottles."
4,Aptitude,Q4,"A fort had provision of food for 150 men for 45 days. After 10 days, 25 men left the fort. The number of days for which the remaining food will last, is:",Chain Rule,"40","42","45","50","42","After 10 days, food remains for 150 men 35 days. Now 125 men: x = (150*35)/125 = 42 days."
5,Aptitude,Q5,"39 persons can repair a road in 12 days, working 5 hours a day. In how many days will 30 persons, working 6 hours a day, complete the work?",Chain Rule,"12","13","14","15","13","x = (39*5*12)/(30*6) = 13 days."
6,Aptitude,Q1,"A man completes 5/8 of a job in 10 days. At this rate, how many more days will it take him to finish the job?",Chain Rule,"6","8","5","4","6","Remaining work = 3/8 → x = (3*10)/5 = 6 days."
7,Aptitude,Q2,"If a quarter kg of potato costs 60 paise, how many paise will 200 gm cost?",Chain Rule,"40","48","50","60","48","Cost ∝ weight → x = (200*60)/250 = 48 paise."
8,Aptitude,Q3,"In a dairy farm, 40 cows eat 40 bags of husk in 40 days. In how many days one cow will eat one bag of husk?",Chain Rule,"20","30","40","50","40","Work ∝ cows*bags*days → x = 40 days."
9,Aptitude,Q4,"A wheel that has 6 cogs is meshed with a larger wheel of 14 cogs. When the smaller wheel has made 21 revolutions, then the number of revolutions made by the larger wheel is:",Chain Rule,"6","9","12","14","9","More cogs, fewer revolutions: x = (6*21)/14 = 9 revolutions."
10,Aptitude,Q5,"If 7 spiders make 7 webs in 7 days, then 1 spider will make 1 web in how many days?",Chain Rule,"5","6","7","8","7","Less spiders, more days: x = 7 days."
11,Aptitude,Q1,"A flagstaff 17.5 m high casts a shadow of length 40.25 m. The height of the building, which casts a shadow of length 28.75 m under similar conditions will be:",Chain Rule,"10","12.5","14","15","12.5","Height ∝ shadow → x = (28.75*17.5)/40.25 = 12.5 m."
12,Aptitude,Q2,"In a camp, there is a meal for 120 men or 200 children. If 150 children have taken the meal, how many men will be catered to with remaining meal?",Chain Rule,"20","25","30","35","30","200 children = 120 men → remaining 50 children → x = (120*50)/200 = 30 men."
13,Aptitude,Q3,"An industrial loom weaves 0.128 metres of cloth every second. Approximately, how many seconds will it take for the loom to weave 25 metres of cloth?",Chain Rule,"180","195","200","210","195","Time ∝ distance → x = 25/0.128 ≈ 195 sec."
14,Aptitude,Q4,"36 men can complete a piece of work in 18 days. In how many days will 27 men complete the same work?",Chain Rule,"20","22","24","26","24","Less men, more days → x = (36*18)/27 = 24 days."
15,Aptitude,Q5,"4 mat-weavers can weave 4 mats in 4 days. At the same rate, how many mats would be woven by 8 mat-weavers in 8 days?",Chain Rule,"12","14","16","18","16","More weavers and more days → x = (8*8*4)/(4*4) = 16 mats."
