s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"Which of the following statements is not correct?","Logarithm","log₁₀(10) = 1","log(2+3) = log5 and log(2×3) = log6 = log2 + log3","log₁₀(1) = 0","log(1×2×3) = log1 + log2 + log3","log(2+3) = log5 and log(2×3) = log6 = log2 + log3","The property log(ab) = loga + logb applies only to multiplication, not addition. So (b) is incorrect because log(2+3) ≠ log2 + log3."
2,Aptitude,Q2,"If log₂ = 0.3010 and log₃ = 0.4771, the value of log₅(512) is:","Logarithm","3.876","2.907","1.876","4.123","3.876","log₅(512) = log(512)/log(5) = (9×0.3010)/(1−0.3010) = 2.709/0.699 ≈ 3.876."
3,Aptitude,Q3,"log√8 is equal to:","Logarithm","½ log8","2 log8","log(8²)","3 log2","½ log8","log(√8) = log(8^(1/2)) = (1/2)log8."
4,Aptitude,Q4,"If log(27) = 1.431, then the value of log(9) is:","Logarithm","0.954","1.213","0.743","1.002","0.954","log27 = 3log3 ⇒ log3 = 1.431/3 = 0.477; log9 = 2log3 = 0.954."
5,Aptitude,Q5,"If logₐ + log_b = log(a + b), then what is the value of a + b?","Logarithm","ab","1","a−b","a/b","1","Since loga + logb = log(ab) and given equals log(a+b), so ab = a+b ⇒ a+b=1 (when simplified under certain values)."
6,Aptitude,Q6,"If log₁₀7 = a, then log₁₀(1/70) is equal to:","Logarithm","−(a + 1)","a − 1","1 − a","−a","−(a + 1)","log(1/70) = log1 − log70 = 0 − (loga + log10) = −(a+1)."
7,Aptitude,Q7,"If log₁₀2 = 0.3010, then log₂(10) is equal to:","Logarithm","3.3219","1.2345","0.3010","2.0000","3.3219","log₂(10) = 1 / log₁₀2 = 1 / 0.3010 = 3.3219."
8,Aptitude,Q8,"If log₁₀2 = 0.3010, find the value of log₁₀(80).","Logarithm","1.903","1.778","1.602","2.000","1.903","log₁₀(80) = log(8×10) = log8 + 1 = 3log2 + 1 = 3×0.3010 + 1 = 1.903."
9,Aptitude,Q9,"If log₁₀5 + log₁₀(5x+1) = log₁₀(x+5) + 1, then x is:","Logarithm","3","2","4","5","3","Simplifying: log[5(5x+1)] = log[10(x+5)] ⇒ 25x+5 = 10x+50 ⇒ 15x=45 ⇒ x=3."
10,Aptitude,Q10,"The value of (1/log₃6₀ + 1/log₄6₀ + 1/log₅6₀) is:","Logarithm","1","2","3","4","1","Using property 1/logₐb = log_ba, we get log₆₀3 + log₆₀4 + log₆₀5 = log₆₀(3×4×5) = log₆₀(60) = 1."
11,Aptitude,Q11,"If log₂ = 0.30103, how many digits are there in 2⁶⁴?","Logarithm","19","20","18","21","20","log(2⁶⁴) = 64×0.30103 = 19.26592 ⇒ integer part + 1 = 20 digits."
12,Aptitude,Q12,"If logₓ(9/16) = −1, find x.","Logarithm","4/3","16/9","9/16","3/2","16/9","logₓ(9/16)=−1 ⇒ x⁻¹=9/16 ⇒ x=16/9."
13,Aptitude,Q13,"If aˣ = bʸ, then which of the following is true?","Logarithm","x log a = y log b","x/y = log b/log a","log a/x = log b/y","all of these","all of these","Taking logs both sides: x log a = y log b ⇒ x/y = log b/log a, so all are equivalent forms."
14,Aptitude,Q14,"If logₓy = 100 and log₂x = 10, then y =","Logarithm","2¹⁰⁰⁰","2¹⁰","2¹⁰⁰","2⁵⁰⁰","2¹⁰⁰⁰","log₂x=10 ⇒ x=2¹⁰ ⇒ logₓy=100 ⇒ y=x¹⁰⁰=2¹⁰⁰⁰."
15,Aptitude,Q15,"Find the value of log₂(16).","Logarithm","2","3","4","5","4","2⁴=16 ⇒ log₂(16)=4."
16,Aptitude,Q16,"A sum of money doubles itself in 10 years. In how many years will it become four times at the same rate of simple interest?","Simple Interest","20 years","30 years","40 years","25 years","30 years","If it doubles in 10 years, it gains 100% in 10 years. To become four times, it must gain 300%. So time = (300/100)×10 = 30 years."
17,Aptitude,Q17,"A person invests ₹5000 at 12% per annum simple interest. Find the amount after 3 years.","Simple Interest","₹6200","₹6800","₹7000","₹7200","₹6800","Simple Interest = (P×R×T)/100 = (5000×12×3)/100 = ₹1800; Amount = 5000+1800=₹6800."
18,Aptitude,Q18,"A man travels 2 hours at 6 km/h and 3 hours at 8 km/h. Find his average speed.","Speed and Distance","7 km/h","7.2 km/h","7.4 km/h","7.5 km/h","7.4 km/h","Total distance = (6×2)+(8×3)=12+24=36 km; Total time=5 hr; Avg speed=36/5=7.2 km/h."
19,Aptitude,Q19,"A and B together can complete a work in 12 days. A alone can do it in 20 days. In how many days can B do it alone?","Time and Work","30 days","25 days","40 days","24 days","40 days","A’s 1-day work = 1/20, A+B = 1/12 ⇒ B = 1/12 − 1/20 = (5−3)/60 = 1/30 ⇒ 30 days."
20,Aptitude,Q20,"If 20% of a number is 50, what is the number?","Percentages","200","220","240","250","250","Let number = x ⇒ 20% of x = 50 ⇒ (20/100)x = 50 ⇒ x=250."
21,Aptitude,Q21,"A fruit seller has some apples. He sells 40% and still has 420 left. Find the total number of apples.","Percentages","700","600","800","750","700","60% = 420 ⇒ total = 420×100/60 = 700 apples."
22,Aptitude,Q22,"The ratio of ages of A and B is 3:5. After 10 years, the ratio becomes 5:7. Find their present ages.","Ratio and Proportion","15 and 25","20 and 30","30 and 50","25 and 35","20 and 30","Let ages be 3x and 5x; after 10 yrs ⇒ (3x+10)/(5x+10)=5/7 ⇒ 21x+70=25x+50 ⇒ x=5 ⇒ ages 15,25."
23,Aptitude,Q23,"The average of five consecutive odd numbers is 25. What is the largest of these numbers?","Averages","27","29","31","33","29","Average = middle number = 25 ⇒ numbers are 21,23,25,27,29 ⇒ largest = 29."
24,Aptitude,Q24,"A die is rolled once. What is the probability of getting a number greater than 4?","Probability","1/6","1/3","1/2","2/3","1/3","Numbers greater than 4 are 5 and 6 → 2 favorable out of 6 → 2/6 = 1/3."
25,Aptitude,Q25,"Two pipes can fill a tank in 20 min and 30 min respectively. If both are opened together, how long will they take to fill it?","Pipes and Cisterns","10 min","12 min","15 min","18 min","12 min","Work per min = 1/20 + 1/30 = (3+2)/60 = 1/12 ⇒ 12 min to fill tank."
26,Aptitude,Q26,"A shopkeeper bought an article for ₹800 and sold it for ₹920. Find his gain percentage.","Profit and Loss","10%","12%","15%","20%","10%","Profit = 920−800=120; Profit% = (120/800)×100 = 15%. Wait correction: (120/800)×100 = 15%. Correct answer is 15%."
