s_no,category,q_no,question,topic,option_a,option_b,option_c,option_d,answer,explanation
1,Aptitude,Q1,"A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years.","Simple Interest","Rs. 698","Rs. 700","Rs. 710","Rs. 720","Rs. 698","S.I. for 1 year = 854 - 815 = Rs. 39. S.I. for 3 years = 39 x 3 = 117. Principal = 815 - 117 = Rs. 698."
2,Aptitude,Q2,"Mr. Thomas invested Rs. 13,900 divided in schemes A and B at 14% and 11% p.a. simple interest. Total interest in 2 years = Rs. 3508. Find amount invested in Scheme B.","Simple Interest","Rs. 6400","Rs. 7500","Rs. 6500","Rs. 7000","Rs. 6400","Let sum in A = x → sum in B = 13900 - x. Total SI: 2x14/100 + 2(13900-x)11/100 = 3508 → x=7500 → B = 13900-7500=6400."
3,Aptitude,Q3,"A sum fetched Rs. 4016.25 simple interest at 9% p.a. in 5 years. What is the sum?","Simple Interest","Rs. 8925","Rs. 9000","Rs. 8800","Rs. 8950","Rs. 8925","Principal = 100 * 4016.25 / (9*5) = 401625/45 = Rs. 8925."
4,Aptitude,Q4,"How much time will it take for Rs. 450 to yield Rs. 81 as interest at 4.5% per annum?","Simple Interest","4 years","3.5 years","5 years","3 years","4 years","Time = 100*81 / (450*4.5) = 8100/2025 = 4 years."
5,Aptitude,Q5,"Reena took a loan of Rs. 1200 for as many years as the rate of interest. If she paid Rs. 432 as interest, what was the rate?","Simple Interest","6%","5%","4%","8%","6%","Let rate = R%, time = R years. 1200*R*R/100 = 432 → R^2=36 → R=6%."
6,Aptitude,Q6,"A sum of Rs. 12,500 amounts to Rs. 15,500 in 4 years. Find the rate of interest.","Simple Interest","6%","7%","8%","5%","6%","S.I. = 15500-12500 = 3000 → Rate = 100*3000/(12500*4) = 6%."
7,Aptitude,Q7,"An automobile financier compounds interest every 6 months at 10% p.a. effective rate becomes:","Simple Interest","10.25%","10%","10.5%","11%","10.25%","S.I. first 6 months = 100*10*1/2=5 → next 6 months = 105*10*1/2=5.25 → Amount = 110.25 → Effective rate = 10.25%."
8,Aptitude,Q8,"A lent Rs. 5000 to B for 2 years and Rs. 3000 to C for 4 years on S.I. Received Rs. 2200 total interest. Find rate per annum.","Simple Interest","10%","12%","9%","11%","10%","5000*R*2/100 + 3000*R*4/100 = 2200 → 100R + 120R = 2200 → R = 10%."
9,Aptitude,Q9,"A sum of Rs. 725 is lent at a rate R%. After 8 months, Rs. 362.50 is lent at 2R% for remaining 4 months. Interest earned = Rs. 33.50. Find original rate.","Simple Interest","3.46%","4%","3%","3.5%","3.46%","Original rate R → 725*R + 362.5*2R*4/12 = 33.50 → solve → R = 3.46%."
10,Aptitude,Q10,"A man took loan at 12% p.a. S.I. After 3 years, interest = Rs. 5400. Find principal.","Simple Interest","Rs. 15,000","Rs. 14,000","Rs. 16,000","Rs. 13,500","Rs. 15,000","Principal = 100*5400/(12*3) = Rs. 15,000."
11,Aptitude,Q11,"A sum amounts to Rs. 9800 after 5 years and Rs. 12005 after 8 years. Find rate per annum.","Simple Interest","12%","10%","11%","13%","12%","S.I. for 3 years = 12005-9800=2205 → S.I. per year=2205/3=735. Principal=9800-5*735=6125 → Rate=100*735/6125=12%."
12,Aptitude,Q12,"Find the ratio of S.I. earned in 6 years and 9 years at same rate.","Simple Interest","2:3","3:4","4:5","5:6","2:3","S.I. ∝ time → 6:9=2:3."
13,Aptitude,Q13,"A certain amount earns Rs. 1750 S.I. after 7 years. If rate were 2% more, how much more interest would it earn?","Simple Interest","Data insufficient","Rs. 50","Rs. 60","Rs. 40","Data insufficient","Principal unknown → cannot calculate extra interest."
14,Aptitude,Q14,"A person borrows Rs. 5000 for 2 years at 4% p.a. S.I. and lends at 6% p.a. for 2 years. Find gain per year.","Simple Interest","Rs. 112.50","Rs. 100","Rs. 125","Rs. 150","Rs. 112.50","Gain in 2 yrs = 5000*6*2/100 - 5000*4*2/100 = 625-400=225 → per year = 225/2=112.50."
